type,orderID,address,city_province_zip,effective_date,municipality_district,structure_type,year_built,gla,num_beds,num_baths,condition,sale_price,sale_date,distance_to_subject,distance_km,num_baths_numeric
comp,4762597,930 Amberdale Cres,Kingston ON K7M 6V1,0,0,127,-6.276833643316774,-0.5506340011582114,0.0634963364323768,2:0,7,-0.6845303879447729,19,16,-1.0356151555273856,2.0
comp,4762597,771 Ashwood Dr,Kingston ON K7M 6X7,0,0,127,-6.276833643316774,-0.5506340011582114,0.0634963364323768,1:0,5,-0.8094163363326241,69,5,-1.2056211462196709,1.0
comp,4762597,995 Amberdale Cres,Kingston ON K7M 6X6,0,0,127,-6.276833643316774,-0.5506340011582114,0.0634963364323768,2:0,5,-0.8382917001217227,77,11,-1.114079458923825,2.0
property,4762597,463 Conservatory Dr,"Kingston, Ontario, K7M 9C8",0,0,34,0.17031020141267422,0.11958212808371928,0.0634963364323768,3:0,0,0.02556293323547519,0,0,-0.054811363071893514,3.0
property,4762597,463 Conservatory Drive,"Kingston, Ontario, K7M 9C8",0,0,40,0.17031020141267422,0.4870251813961813,0.0634963364323768,0:0,0,0.02556293323547519,0,0,-0.054811363071893514,0.0
property,4762597,311 Janette St,"Kingston, Ontario, K7P 0K8",0,0,65,0.17031020141267422,0.11958212808371928,0.0634963364323768,4:0,0,-0.1885960148670056,0,0,-0.054811363071893514,4.0
property,4762597,311 Janette Street,"Kingston, Ontario, K7P 0K8",0,0,67,0.17031020141267422,-0.17437231456625032,0.0634963364323768,0:0,0,-0.1885960148670056,0,0,-0.054811363071893514,0.0
property,4762597,4056 Bath Rd,"Kingston, Ontario, K7M 4Y4",0,0,97,0.17031020141267422,-0.17437231456625032,0.901219727081061,4:0,0,0.052032016708815514,0,0,-0.054811363071893514,4.0
property,4762597,786 HIGH GATE PARK Dr,"Kingston, Ontario, K7M 5Z8",0,0,34,0.17031020141267422,-0.17437231456625032,0.0634963364323768,2:0,0,-0.40516124328524467,0,0,-0.054811363071893514,2.0
property,4762597,786 HIGH GATE PARK Drive,"Kingston, Ontario, K7M 5Z8",0,0,53,0.17031020141267422,-0.17437231456625032,0.0634963364323768,0:0,0,-0.40516124328524467,0,0,-0.054811363071893514,0.0
property,4762597,784 Downing St,"Kingston, Ontario, K7M 5N2",0,0,34,0.17031020141267422,-0.24786092522874273,1.7389431177297454,2:0,0,-0.23070592039277432,0,0,-0.054811363071893514,2.0
property,4762597,784 Downing Street,"Kingston, Ontario, K7M 5N2",0,0,54,0.17031020141267422,-0.17437231456625032,0.901219727081061,0:0,0,-0.23070592039277432,0,0,-0.054811363071893514,0.0
property,4762597,593 Roosevelt Dr,"Kingston, Ontario, K7M 8T7",0,0,34,0.17031020141267422,0.6780955691186615,0.901219727081061,3:0,0,0.04240689544578267,0,0,-0.054811363071893514,3.0
property,4762597,593 Roosevelt Drive,"Kingston, Ontario, K7M 8T7",0,0,47,0.17031020141267422,0.5854999196839211,0.901219727081061,0:0,0,0.04240689544578267,0,0,-0.054811363071893514,0.0
property,4762597,657 Gwen Ave,"Kingston, Ontario, K7P 0M2",0,0,34,0.17031020141267422,0.8544682347086433,0.901219727081061,3:1,0,0.3455982152313173,0,0,-0.054811363071893514,3.5
property,4762597,657 Gwen Avenue,"Kingston, Ontario, K7P 0M2",0,0,40,0.17031020141267422,1.2219112880211054,0.901219727081061,0:0,0,0.3455982152313173,0,0,-0.054811363071893514,0.0
property,4762597,1341 TREMONT Dr,"Kingston, Ontario, K7P 0M5",0,0,65,0.17031020141267422,0.19307073874621167,0.0634963364323768,3:0,0,-0.21747378493641992,0,0,-0.054811363071893514,3.0
property,4762597,Unit 402 - 649 DAVIS Dr,"Kingston, Ontario, L9P 1R2",0,0,3,0.17031020141267422,-0.4683267572162199,-0.7742270542163074,1:0,0,-0.8021974953853495,0,0,-0.054811363071893514,1.0
property,4762597,1341 TREMONT Drive,"Kingston, Ontario, K7P 0M5",0,0,67,0.17031020141267422,0.21364754973170955,0.0634963364323768,0:0,0,-0.21747378493641992,0,0,-0.054811363071893514,0.0
property,4762597,Unit 402 - 649 DAVIS Drive,"Kingston, Ontario, K7M 8L4",0,0,11,0.17031020141267422,-0.4683267572162199,-0.7742270542163074,0:0,0,-0.8021974953853495,0,0,-0.054811363071893514,0.0
property,4762597,1028 Bauder Cres,"Kingston, Ontario, K7P 1M6",0,0,34,-6.306513589405043,-0.7622811998661896,-0.7742270542163074,2:0,0,-0.2920660684446087,0,0,-0.054811363071893514,2.0
property,4762597,1040 Earnhart St,"Kingston, Ontario, K7P 3B9",0,0,34,0.17031020141267422,0.4870251813961813,0.0634963364323768,4:0,0,0.18437743407551713,0,0,-0.054811363071893514,4.0
property,4762597,1028 Bauder Crescent,"Kingston, Ontario, K7P 1M6",0,0,49,0.17031020141267422,-0.7622811998661896,0.0634963364323768,0:0,0,-0.2920660684446087,0,0,-0.054811363071893514,0.0
property,4762597,1040 Earnhart Street,"Kingston, Ontario, K7P 3B9",0,0,40,0.17031020141267422,0.4870251813961813,0.0634963364323768,0:0,0,0.18437743407551713,0,0,-0.054811363071893514,0.0
property,4762597,994 WESTMINSTER Place,"Kingston, Ontario, K7P 1R1",0,0,40,0.17031020141267422,0.2724384382617035,0.0634963364323768,0:0,0,-0.1645332117094235,0,0,-0.054811363071893514,0.0
property,4762597,2138 Balantrae Circ,"Kingston, Ontario, K7M 9H8",0,0,34,0.17031020141267422,0.634002402721166,0.0634963364323768,4:0,0,0.1964088356543082,0,0,-0.054811363071893514,4.0
